#This file was generated with SimpNMR v1.0.8 at 18:07:44 28-11-2025 
#temperature = 300.000
#larmor = 400.000
#isotope = 1H
# Optimal Assignment
# r2 = 0.986813
# T = 300.00 K
assignment (),shift (ppm),width (Hz),area (),L/G ()
c2ax,-76.30000,68.10000,1,1.00000
apax,-64.00000,78.40000,1,1.00000
a3ax,-49.82000,74.70000,1,1.00000
c8ax,-40.34000,72.90000,1,1.00000
a1ax,-38.54000,84.60000,1,1.00000
a2ax,-30.11000,33.40000,1,1.00000
a1eq,-28.59000,39.40000,1,1.00000
apeq,-28.19000,42.40000,1,1.00000
a3eq,-26.86000,38.20000,1,1.00000
Me1,-26.30000,1.00000,1,1.00000
c1eq,-18.46000,38.80000,1,1.00000
c8eq,-14.26000,32.90000,1,1.00000
c2eq,-13.68000,43.00000,1,1.00000
Me3,-9.40000,1.00000,1,1.00000
Me2,-9.40000,1.00000,1,1.00000
c7eq,2.06500,44.10000,1,1.00000
c6ax,4.71200,20.50000,1,1.00000
py3,6.26900,23.40000,1,1.00000
a2eq,12.14000,40.70000,1,1.00000
tBu,16.30000,1.00000,1,1.00000
py4,19.12100,19.80000,1,1.00000
c6eq,21.23100,51.40000,1,1.00000
c3eq,27.20600,42.90000,1,1.00000
c4ax,33.57600,82.70000,1,1.00000
c1ax,36.44900,110.40000,1,1.00000
c5eq,50.17900,43.10000,1,1.00000
c4eq,51.06700,50.00000,1,1.00000
c7ax,54.33300,103.00000,1,1.00000
c3ax,85.74300,107.70000,1,1.00000
py6,115.80000,141.30000,1,1.00000
c5ax,115.80000,141.00000,1,1.00000
