# This file was generated with SimpNMR v1.0.8 at 18:07:46 28-11-2025 
# Hyperfines from file /Users/ernestborysenko/git/simpnmr/examples/point_dipole_fit_susc/m06-2x.xyz
# Diamagnetic shifts from file /Users/ernestborysenko/git/simpnmr/examples/point_dipole_fit_susc/dia.csv
# T = 300.00 K
atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),Adip_xx (ppm Å^-3),Adip_xy (ppm Å^-3),Adip_xz (ppm Å^-3),Adip_yy (ppm Å^-3),Adip_yz (ppm Å^-3),Adip_zz (ppm Å^-3),δ_total_avg (ppm),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (Hz)
H1,c8eq,0.48026,0.98156,4.27147,0.00000,-782.79271,132.53191,615.74803,-815.36446,544.71478,1598.15717,-15.67628,-15.67628,2.43000,0.00000,-18.10628,1
H2,c8ax,1.56028,0.27397,3.06020,0.00000,-10.29271,150.45221,2312.23743,-1627.16701,213.32527,1637.45973,-43.14849,-43.14849,2.98000,0.00000,-46.12849,1
H3,c7eq,0.21823,-1.46066,4.22111,0.00000,-809.87815,-154.46206,414.64727,-571.17307,-844.40737,1381.05122,0.77928,0.77928,2.29000,0.00000,-1.51072,1
H4,c7ax,-1.28179,-0.67924,3.70447,-0.00000,-1309.20750,176.31879,-840.32504,-1301.57707,-858.70482,2610.78457,52.51278,52.51278,3.37000,-0.00000,49.14278,1
H5,c6eq,-1.36298,-3.11267,3.15182,0.00000,-783.48745,339.15897,-325.82050,442.38338,-1261.79313,341.10407,22.35415,22.35415,2.50000,0.00000,19.85415,1
H6,c6ax,-1.07305,-3.39931,1.43679,0.00000,-1394.16715,582.09425,-226.23920,2305.39603,-1472.64441,-911.22888,-5.73267,-5.73267,3.53000,0.00000,-9.26267,1
H7,c5eq,-3.44353,-2.79571,1.88641,-0.00000,239.67439,1120.86286,-702.29089,217.18098,-695.27948,-456.85538,50.59803,50.59803,2.40000,-0.00000,48.19803,1
H8,c5ax,-2.92764,-1.25477,2.59315,-0.00000,376.72567,1079.43026,-2028.32500,-951.69232,-1133.46815,574.96665,115.88549,115.88549,3.41000,-0.00000,112.47549,1
H9,c4eq,-4.76078,-1.01494,0.78651,-0.00000,1605.35543,655.78263,-420.38811,-752.57478,-109.05008,-852.78065,52.08492,52.08492,2.48000,-0.00000,49.60492,1
H10,c4ax,-4.04598,-0.29808,-0.66461,-0.00000,3117.31903,519.35137,1027.92656,-1640.39494,110.90220,-1476.92410,29.94693,29.94693,3.82000,-0.00000,26.12693,1
H11,c3eq,-4.61776,1.42202,1.03367,0.00000,1479.04996,-794.14679,-561.88733,-674.30544,184.80499,-804.74452,25.85739,25.85739,2.32000,0.00000,23.53739,1
H12,c3ax,-3.53629,0.64869,2.19900,0.00000,1487.41027,-576.88670,-2146.36808,-1446.03166,406.92966,-41.37861,87.21640,87.21640,3.41000,0.00000,83.80640,1
H13,c2eq,-3.00200,3.09219,2.04179,-0.00000,-38.82404,-1129.89419,-734.32226,418.37386,897.76779,-379.54982,-12.92470,-12.92470,2.59000,-0.00000,-15.51470,1
H14,c2ax,-1.52999,3.36020,1.10497,-0.00000,-1339.54523,-1329.09064,-413.57082,2655.18514,1368.05783,-1315.63990,-75.77165,-75.77165,3.58000,-0.00000,-79.35165,1
H15,c1eq,-1.05383,2.75840,3.47397,-0.00000,-925.74767,-211.41456,-267.58520,132.20181,1390.52814,793.54586,-21.67656,-21.67656,2.47000,-0.00000,-24.14656,1
H16,c1ax,-1.88597,1.21146,3.25950,-0.00000,-975.95648,-577.35401,-1620.66689,-1179.10495,1360.43197,2155.06143,34.05163,34.05163,3.51000,-0.00000,30.54163,1
H17,a3eq,1.15935,-3.16572,2.64477,0.00000,-505.46807,-737.79970,581.95472,519.22380,-1112.63385,-13.75574,-23.72234,-23.72234,2.78000,0.00000,-26.50234,1
H18,a3ax,1.87552,-1.59667,2.21337,0.00000,544.61524,-1534.71149,1948.34982,-598.38687,-1353.52084,53.77163,-49.02062,-49.02062,3.41000,0.00000,-52.43062,1
H19,a1eq,-3.61572,3.14313,-0.40114,-0.00000,466.16382,-1413.87919,224.12993,452.85770,-223.07776,-919.02152,-27.62575,-27.62575,2.59000,-0.00000,-30.21575,1
H20,a1ax,-3.48144,1.60255,-1.28846,-0.00000,1759.50483,-1802.30141,1625.44213,-792.76272,-840.73774,-966.74211,-37.87029,-37.87029,3.43000,-0.00000,-41.30029,1
H21,apeq,1.29002,2.86751,2.87710,-0.00000,-454.41999,782.31700,783.87339,224.83522,1194.85804,229.58477,-30.70226,-30.70226,3.65000,-0.00000,-34.35226,1
H22,apax,0.46869,3.15898,1.32544,0.00000,-1424.36575,1473.89958,594.15583,2598.77752,1816.17831,-1174.41176,-64.80577,-64.80577,4.55000,0.00000,-69.35577,1
H23,py3,3.60498,3.09344,2.08975,-0.00000,335.26323,591.30087,393.54108,-47.87008,286.18139,-287.39315,4.75815,4.75815,7.35000,-0.00000,-2.59185,1
H24,py4,5.45071,2.16475,0.70646,0.00000,507.63481,283.72164,84.67496,-208.84305,29.46944,-298.79175,17.00635,17.00635,7.97000,0.00000,9.03635,1
H25,tBu,5.57727,1.93588,-2.49325,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H26,tBu,6.96109,0.81157,-2.42756,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H27,tBu,6.63614,1.89425,-1.05832,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H28,tBu,6.91707,-1.19212,-0.85613,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H29,tBu,5.46773,-1.49399,0.14648,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H30,tBu,6.54790,-0.12203,0.52354,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H31,tBu,4.04256,-0.09596,-3.01842,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H32,tBu,4.14649,-1.54165,-1.97422,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H33,tBu,5.53911,-1.06199,-2.96982,0.00000,420.63227,-61.56211,-215.00599,-246.61181,17.37148,-174.02047,13.64859,13.64859,1.24000,0.00000,12.40859,1
H34,py6,2.52815,-0.38668,-1.17997,0.00000,3205.97452,-810.65738,-2194.69026,-1993.68871,334.22926,-1212.28582,113.28996,113.28996,8.60000,0.00000,104.68996,1
H35,Me1,-0.31567,4.90072,-1.92601,-0.00000,-525.33135,-259.08267,-3.40508,1044.18283,-116.31812,-518.85148,-21.35408,-21.35408,1.26000,-0.00000,-22.61408,1
H36,Me1,-0.93299,4.79726,-0.25111,-0.00000,-525.33135,-259.08267,-3.40508,1044.18283,-116.31812,-518.85148,-21.35408,-21.35408,1.26000,-0.00000,-22.61408,1
H37,Me1,-2.04873,5.19429,-1.60155,-0.00000,-525.33135,-259.08267,-3.40508,1044.18283,-116.31812,-518.85148,-21.35408,-21.35408,1.26000,-0.00000,-22.61408,1
H38,Me2,1.27897,-5.14228,0.49755,-0.00000,-525.33135,-259.08267,-3.40508,1044.18283,-116.31812,-518.85148,-21.17408,-21.17408,1.44000,-0.00000,-22.61408,1
H39,Me2,1.17375,-4.61986,-1.21016,-0.00000,-525.33135,-259.08267,-3.40508,1044.18283,-116.31812,-518.85148,-21.17408,-21.17408,1.44000,-0.00000,-22.61408,1
H40,Me2,-0.26673,-4.50275,-0.16330,-0.00000,-525.33135,-259.08267,-3.40508,1044.18283,-116.31812,-518.85148,-21.17408,-21.17408,1.44000,-0.00000,-22.61408,1
H41,a2eq,-3.73904,-2.86011,-0.58616,-0.00000,551.13180,1365.96476,311.49286,319.27870,286.17687,-870.41050,11.59490,11.59490,2.59000,-0.00000,9.00490,1
H42,a2ax,-2.00932,-3.17855,-0.33304,0.00000,-851.53832,1893.23032,242.49902,2488.73380,537.29478,-1637.19548,-24.13125,-24.13125,3.61000,0.00000,-27.74125,1
H43,Me3,-3.40223,-0.97373,-4.13804,0.00000,243.46155,283.96205,753.76348,-443.03669,279.23192,199.57514,-12.06456,-12.06456,1.26000,0.00000,-13.32456,1
H44,Me3,-4.42220,-0.72799,-2.68855,0.00000,243.46155,283.96205,753.76348,-443.03669,279.23192,199.57514,-12.06456,-12.06456,1.26000,0.00000,-13.32456,1
H45,Me3,-4.22964,-2.37106,-3.38860,0.00000,243.46155,283.96205,753.76348,-443.03669,279.23192,199.57514,-12.06456,-12.06456,1.26000,0.00000,-13.32456,1
