atom_label,chem_label,chem_math_label
N1,N,N
H1,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H2,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H3,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H4,H_BDI_mH,$\mathbf{H}_{\mathit{mH}}^{\mathit{BDI}}$
H5,H_BDI_pMe,$\mathbf{H}_{\mathit{pMe}}^{\mathit{BDI}}$
H6,H_BDI_pMe,$\mathbf{H}_{\mathit{pMe}}^{\mathit{BDI}}$
H7,H_BDI_pMe,$\mathbf{H}_{\mathit{pMe}}^{\mathit{BDI}}$
H8,H_BDI_mH,$\mathbf{H}_{\mathit{mH}}^{\mathit{BDI}}$
H9,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H10,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H11,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H12,H_BDI_γ,$\mathbf{H}_{\mathit{γ}}^{\mathit{BDI}}$
H13,H_BDI_Me,$\mathbf{H}_{\mathit{Me}}^{\mathit{BDI}}$
H14,H_BDI_Me,$\mathbf{H}_{\mathit{Me}}^{\mathit{BDI}}$
H15,H_BDI_Me,$\mathbf{H}_{\mathit{Me}}^{\mathit{BDI}}$
O1,O,O
H16,H_THF,$\mathbf{H}^{\mathit{THF}}$
H17,H_THF,$\mathbf{H}^{\mathit{THF}}$
H18,H_THF,$\mathbf{H}^{\mathit{THF}}$
H19,H_THF,$\mathbf{H}^{\mathit{THF}}$
H20,H_THF,$\mathbf{H}^{\mathit{THF}}$
H21,H_THF,$\mathbf{H}^{\mathit{THF}}$
H22,H_THF,$\mathbf{H}^{\mathit{THF}}$
H23,H_THF,$\mathbf{H}^{\mathit{THF}}$
Li1,Li,Li
N2,N,N
H24,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H25,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H26,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H27,H_BDI_mH,$\mathbf{H}_{\mathit{mH}}^{\mathit{BDI}}$
H28,H_BDI_pMe,$\mathbf{H}_{\mathit{pMe}}^{\mathit{BDI}}$
H29,H_BDI_pMe,$\mathbf{H}_{\mathit{pMe}}^{\mathit{BDI}}$
H30,H_BDI_pMe,$\mathbf{H}_{\mathit{pMe}}^{\mathit{BDI}}$
H31,H_BDI_mH,$\mathbf{H}_{\mathit{mH}}^{\mathit{BDI}}$
H32,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H33,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H34,H_BDI_oMe,$\mathbf{H}_{\mathit{oMe}}^{\mathit{BDI}}$
H35,H_BDI_Me,$\mathbf{H}_{\mathit{Me}}^{\mathit{BDI}}$
H36,H_BDI_Me,$\mathbf{H}_{\mathit{Me}}^{\mathit{BDI}}$
H37,H_BDI_Me,$\mathbf{H}_{\mathit{Me}}^{\mathit{BDI}}$
Cl2,Cl,Cl
O2,O,O
H38,H_THF,$\mathbf{H}^{\mathit{THF}}$
H39,H_THF,$\mathbf{H}^{\mathit{THF}}$
H40,H_THF,$\mathbf{H}^{\mathit{THF}}$
H41,H_THF,$\mathbf{H}^{\mathit{THF}}$
H42,H_THF,$\mathbf{H}^{\mathit{THF}}$
H43,H_THF,$\mathbf{H}^{\mathit{THF}}$
H44,H_THF,$\mathbf{H}^{\mathit{THF}}$
H45,H_THF,$\mathbf{H}^{\mathit{THF}}$
